snapped_at,price,market_cap,total_volume,Yesterday_Price,Day_Change,Tomorrow Price
2018-09-09 00:00:00 UTC,6181.19445075213,106668555553.51492,3851077568.004001,6397.81887024023,-216.6244194881001,6260.764806062476
2018-09-10 00:00:00 UTC,6260.764806062476,108219061918.52274,4174629547.594032,6181.19445075213,79.5703553103458,6308.135474616629
2018-09-11 00:00:00 UTC,6308.135474616629,108846231385.41852,4504626593.565221,6260.764806062476,47.37066855415287,6278.917069628559
2018-09-12 00:00:00 UTC,6278.917069628559,108449181464.89592,5001529025.0324745,6308.135474616629,-29.21840498806978,6330.574238022664
2018-09-13 00:00:00 UTC,6330.574238022664,109298582014.2178,5026516732.831187,6278.917069628559,51.6571683941047,6486.461630393616
2018-09-14 00:00:00 UTC,6486.461630393616,112124461661.13242,4987196751.843109,6330.574238022664,155.8873923709525,6500.01225461663
2018-09-15 00:00:00 UTC,6500.01225461663,112334356298.05247,5350596522.1363,6486.461630393616,13.550624223013983,6530.221146234664
2018-09-16 00:00:00 UTC,6530.221146234664,112796085614.54744,4295951323.506035,6500.01225461663,30.208891618033704,6506.248493217292
2018-09-17 00:00:00 UTC,6506.248493217292,112373562206.64604,4715407407.262404,6530.221146234664,-23.972653017372068,6250.121727322729
2018-09-18 00:00:00 UTC,6250.121727322729,107960190646.4486,4600931272.400568,6506.248493217292,-256.1267658945626,6347.069255451608
2018-09-19 00:00:00 UTC,6347.069255451608,109629673484.58704,4472798160.224327,6250.121727322729,96.94752812887872,6383.753841158382
2018-09-20 00:00:00 UTC,6383.753841158382,110292032124.89343,5380977505.120019,6347.069255451608,36.68458570677376,6491.885242276883
2018-09-21 00:00:00 UTC,6491.885242276883,112172960507.04016,5059042419.562756,6383.753841158382,108.13140111850134,6753.8344721403255
2018-09-22 00:00:00 UTC,6753.8344721403255,116710823191.41154,5931455399.756281,6491.885242276883,261.94922986344227,6747.032172960024
2018-09-23 00:00:00 UTC,6747.032172960024,116607568773.97198,5159534298.571353,6753.8344721403255,-6.802299180301816,6711.029451815934
2018-09-24 00:00:00 UTC,6711.029451815934,116001860055.71248,4322794079.140574,6747.032172960024,-36.002721144089264,6596.187313045577
2018-09-25 00:00:00 UTC,6596.187313045577,114024650850.04752,4626497701.607775,6711.029451815934,-114.84213877035744,6441.311544542553
2018-09-26 00:00:00 UTC,6441.311544542553,111360852966.35107,4580781824.213022,6596.187313045577,-154.87576850302412,6462.795635292239
2018-09-27 00:00:00 UTC,6462.795635292239,111760801180.66,3788299697.410916,6441.311544542553,21.4840907496864,6704.704245729721
2018-09-28 00:00:00 UTC,6704.704245729721,115905890382.87776,4690261094.515134,6462.795635292239,241.9086104374819,6634.765964572905
2018-09-29 00:00:00 UTC,6634.765964572905,114768551691.0015,3140320712.260097,6704.704245729721,-69.93828115681572,6606.073795422076
2018-09-30 00:00:00 UTC,6606.073795422076,114265552573.72394,2294291064.4914503,6634.765964572905,-28.692169150829613,6626.037956098487
2018-10-01 00:00:00 UTC,6626.037956098487,114617564007.79602,1908960742.721659,6606.073795422076,19.96416067641076,6598.841259755177
2018-10-02 00:00:00 UTC,6598.841259755177,114225251470.51224,1893760872.901848,6626.037956098487,-27.196696343309668,6524.60769791521
2018-10-03 00:00:00 UTC,6524.60769791521,112814709079.4464,2035903501.1612608,6598.841259755177,-74.23356183996657,6499.262379115219
2018-10-04 00:00:00 UTC,6499.262379115219,112545036630.82414,2247969611.197428,6524.60769791521,-25.34531879999122,6578.701809284849
2018-10-05 00:00:00 UTC,6578.701809284849,113846158429.54834,2059404665.1894453,6499.262379115219,79.43943016963021,6621.189363919919
2018-10-06 00:00:00 UTC,6621.189363919919,114567814410.76248,1840911129.5584168,6578.701809284849,42.4875546350695,6589.124681678888
2018-10-07 00:00:00 UTC,6589.124681678888,114021329402.35275,1464404365.51708,6621.189363919919,-32.06468224103082,6584.832153052514
2018-10-08 00:00:00 UTC,6584.832153052514,113962679824.78197,1499424737.458561,6589.124681678888,-4.292528626374406,6653.089450830426
2018-10-09 00:00:00 UTC,6653.089450830426,115167647222.33852,2081626437.463169,6584.832153052514,68.25729777791275,6633.745729917172
2018-10-10 00:00:00 UTC,6633.745729917172,114837789505.01476,1741398466.9025888,6653.089450830426,-19.3437209132544,6582.455082387102
2018-10-11 00:00:00 UTC,6582.455082387102,113987017102.36555,2070407901.701105,6633.745729917172,-51.29064753006969,6234.367641454442
2018-10-12 00:00:00 UTC,6234.367641454442,108155761830.83028,3581191342.767335,6582.455082387102,-348.0874409326607,6285.592982799844
2018-10-13 00:00:00 UTC,6285.592982799844,108845285496.56728,2295615181.287238,6234.367641454442,51.22534134540274,6314.883384422573
2018-10-14 00:00:00 UTC,6314.883384422573,109372673141.74013,1851879464.8516304,6285.592982799844,29.290401622728496,6328.554760034424
2018-10-15 00:00:00 UTC,6328.554760034424,109624316973.412,1847113723.735372,6314.883384422573,13.671375611851545,6659.87550840943
2018-10-16 00:00:00 UTC,6659.87550840943,115236573309.55289,6217858944.018429,6328.554760034424,331.3207483750057,6635.125667516839
2018-10-17 00:00:00 UTC,6635.125667516839,114960968517.5375,2746546151.250113,6659.87550840943,-24.74984089259124,6635.741832487943
2018-10-18 00:00:00 UTC,6635.741832487943,114953321633.4926,2820354466.330306,6635.125667516839,0.616164971103899,6517.511087710534
2018-10-19 00:00:00 UTC,6517.511087710534,112970698851.37468,2625598930.5728407,6635.741832487943,-118.23074477740828,6483.827769471798
2018-10-20 00:00:00 UTC,6483.827769471798,112394945004.92676,2652532021.929972,6517.511087710534,-33.68331823873632,6532.678750383806
2018-10-21 00:00:00 UTC,6532.678750383806,113214078424.96126,2387105749.143392,6483.827769471798,48.8509809120078,6529.670021370842
2018-10-22 00:00:00 UTC,6529.670021370842,113208108538.70483,2127987152.586655,6532.678750383806,-3.008729012964068,6512.589059298922
2018-10-23 00:00:00 UTC,6512.589059298922,112905904007.05743,2655159954.716826,6529.670021370842,-17.080962071920112,6472.799660641591
2018-10-24 00:00:00 UTC,6472.799660641591,112227883463.22098,2784381146.568883,6512.589059298922,-39.78939865733082,6481.443589558082
2018-10-25 00:00:00 UTC,6481.443589558082,112363064964.16647,2607022301.561287,6472.799660641591,8.64392891649095,6458.191521836801
2018-10-26 00:00:00 UTC,6458.191521836801,112010056845.2184,2618534041.346836,6481.443589558082,-23.252067721280586,6468.826424965618
2018-10-27 00:00:00 UTC,6468.826424965618,112200801079.02805,2698016930.8820057,6458.191521836801,10.634903128816404,6457.058635186671
2018-10-28 00:00:00 UTC,6457.058635186671,111998326691.92026,2383295890.5582404,6468.826424965618,-11.76778977894628,6481.323141667608
2018-10-29 00:00:00 UTC,6481.323141667608,112422008134.01062,2065446088.788402,6457.058635186671,24.26450648093669,6292.6479239344
2018-10-30 00:00:00 UTC,6292.6479239344,109167179052.3813,3631795693.013341,6481.323141667608,-188.67521773320823,6331.781807909807
2018-10-31 00:00:00 UTC,6331.781807909807,109890575608.1054,1962209613.9889967,6292.6479239344,39.13388397540712,6366.720109554257
2018-11-01 00:00:00 UTC,6366.720109554257,110487418903.24472,2042670545.032488,6331.781807909807,34.93830164444989,6379.972972168429
2018-11-02 00:00:00 UTC,6379.972972168429,110896563654.92197,2922702484.006447,6366.720109554257,13.252862614172043,6425.4415830402095
2018-11-03 00:00:00 UTC,6425.4415830402095,111528929052.5205,2675454291.399585,6379.972972168429,45.46861087178058,6388.1897883073725
2018-11-04 00:00:00 UTC,6388.1897883073725,110888814023.684,2582446886.6230755,6425.4415830402095,-37.25179473283697,6351.061941056285
2018-11-05 00:00:00 UTC,6351.061941056285,110241536216.1873,3198297931.7470818,6388.1897883073725,-37.12784725108759,6415.443408541094
2018-11-06 00:00:00 UTC,6415.443408541094,111383003826.06792,3213571991.0860043,6351.061941056285,64.38146748480904,6474.847290336688
2018-11-07 00:00:00 UTC,6474.847290336688,112347500910.42683,3408876943.856672,6415.443408541094,59.40388179559432,6574.801180290013
2018-11-08 00:00:00 UTC,6574.801180290013,113943582818.14384,3120683820.785003,6474.847290336688,99.9538899533245,6490.454730761757
2018-11-09 00:00:00 UTC,6490.454730761757,112723294658.02625,2402484611.464685,6574.801180290013,-84.34644952825602,6413.78203857173
2018-11-10 00:00:00 UTC,6413.78203857173,111440702127.79549,2707057000.4786224,6490.454730761757,-76.67269219002719,6429.898792074219
2018-11-11 00:00:00 UTC,6429.898792074219,111308110603.00996,1672332107.6089764,6413.78203857173,16.1167535024897,6434.2845969255495
2018-11-12 00:00:00 UTC,6434.2845969255495,111773252086.90736,2943678893.5684266,6429.898792074219,4.385804851330249,6411.353436205148
2018-11-13 00:00:00 UTC,6411.353436205148,111385885801.71518,2651674690.982871,6434.2845969255495,-22.93116072040175,6394.289276264062
2018-11-14 00:00:00 UTC,6394.289276264062,111126759494.65369,2890964719.217386,6411.353436205148,-17.064159941085563,5788.612494046974
2018-11-15 00:00:00 UTC,5788.612494046974,100585460320.22012,5690409836.804629,6394.289276264062,-605.6767822170887,5686.541131058274
2018-11-16 00:00:00 UTC,5686.541131058274,98829079080.7242,4981978552.514329,5788.612494046974,-102.07136298869956,5609.956182334204
2018-11-17 00:00:00 UTC,5609.956182334204,97344067023.98212,3236633357.0467114,5686.541131058274,-76.58494872407027,5599.191595689304
2018-11-18 00:00:00 UTC,5599.191595689304,97299989131.4034,2525819291.4931545,5609.956182334204,-10.764586644899282,5638.861481452398
2018-11-19 00:00:00 UTC,5638.861481452398,98118875508.37688,2422604400.7507744,5599.191595689304,39.66988576309359,4889.197859239111
2018-11-20 00:00:00 UTC,4889.197859239111,85228342224.35999,6126269575.232113,5638.861481452398,-749.6636222132875,4450.711454417822
2018-11-21 00:00:00 UTC,4450.711454417822,76601948314.49545,6314969584.020993,4889.197859239111,-438.4864048212885,4613.44841218385
2018-11-22 00:00:00 UTC,4613.44841218385,80360705527.42929,4321511764.357207,4450.711454417822,162.73695776602835,4307.388731717267
2018-11-23 00:00:00 UTC,4307.388731717267,75518575145.29533,3055231902.513544,4613.44841218385,-306.0596804665838,4376.904946801552
2018-11-24 00:00:00 UTC,4376.904946801552,76120308175.56718,3520222575.53617,4307.388731717267,69.51621508428525,3895.836812958988
2018-11-25 00:00:00 UTC,3895.836812958988,67756132282.086784,3115187178.442392,4376.904946801552,-481.06813384256384,4039.836551137432
2018-11-26 00:00:00 UTC,4039.836551137432,70327984591.03267,5226773378.179892,3895.836812958988,143.99973817844375,3811.9235292664935
2018-11-27 00:00:00 UTC,3811.9235292664935,66796155268.6834,4652103083.720623,4039.836551137432,-227.91302187093837,3832.92451590069
2018-11-28 00:00:00 UTC,3832.92451590069,66811830848.48212,4050028039.14864,3811.9235292664935,21.00098663419658,4267.243628990657
2018-11-29 00:00:00 UTC,4267.243628990657,74381953561.03812,4973628807.699461,3832.92451590069,434.3191130899672,4279.475592548712
2018-11-30 00:00:00 UTC,4279.475592548712,74400715839.6163,4313265392.487118,4267.243628990657,12.231963558054304,4009.6895798259993
2018-12-01 00:00:00 UTC,4009.6895798259993,69715049461.01839,4007783472.588205,4279.475592548712,-269.78601272271226,4189.573822999859
2018-12-02 00:00:00 UTC,4189.573822999859,73075855208.30002,3183894471.4847646,4009.6895798259993,179.88424317385943,4124.593548643215
2018-12-03 00:00:00 UTC,4124.593548643215,71784475615.70909,3242289555.8219714,4189.573822999859,-64.98027435664335,3878.839234783272
2018-12-04 00:00:00 UTC,3878.839234783272,67489136960.41757,3128854932.5753694,4124.593548643215,-245.75431385994352,3943.6928120656007
2018-12-05 00:00:00 UTC,3943.6928120656007,68592152288.35375,3255899964.55098,3878.839234783272,64.85357728232884,3751.691966395661
2018-12-06 00:00:00 UTC,3751.691966395661,65355774058.35723,3020004368.112703,3943.6928120656007,-192.0008456699397,3466.763863771732
2018-12-07 00:00:00 UTC,3466.763863771732,60357918912.00456,3672494312.317788,3751.691966395661,-284.92810262392914,3408.5236170431267
2018-12-08 00:00:00 UTC,3408.5236170431267,59348913269.87663,5243194483.926532,3466.763863771732,-58.24024672860514,3424.705860662601
2018-12-09 00:00:00 UTC,3424.705860662601,59526617773.597786,3430203804.247037,3408.5236170431267,16.18224361947432,3550.546433896889
2018-12-10 00:00:00 UTC,3550.546433896889,61832986280.19322,2938443353.811616,3424.705860662601,125.84057323428806,3433.8084404312785
2018-12-11 00:00:00 UTC,3433.8084404312785,59805353928.82642,2614506143.32925,3550.546433896889,-116.73799346561054,3378.808778413106
2018-12-12 00:00:00 UTC,3378.808778413106,58852767064.15517,2720740076.8003125,3433.8084404312785,-54.99966201817233,3438.1000735289817
2018-12-13 00:00:00 UTC,3438.1000735289817,59878323499.6965,2552041789.9907007,3378.808778413106,59.29129511587553,3294.636156545267
2018-12-14 00:00:00 UTC,3294.636156545267,57318285688.4418,2620531732.8481603,3438.1000735289817,-143.46391698371465,3216.6271499079407
2018-12-15 00:00:00 UTC,3216.6271499079407,55998515509.38865,2663819604.586118,3294.636156545267,-78.00900663732637,3221.9762037129963
2018-12-16 00:00:00 UTC,3221.9762037129963,56171263934.47407,2103029919.7436216,3216.6271499079407,5.349053805055519,3217.0468349697426
2018-12-17 00:00:00 UTC,3217.0468349697426,56050483689.82096,1972663570.3920543,3221.9762037129963,-4.92936874325369,3506.2170132794818
2018-12-18 00:00:00 UTC,3506.2170132794818,61143447505.005135,3421249875.3626423,3217.0468349697426,289.1701783097392,3655.775045729801
2018-12-19 00:00:00 UTC,3655.775045729801,63720433230.19886,3898845061.80057,3506.2170132794818,149.5580324503194,3687.750553192723
2018-12-20 00:00:00 UTC,3687.750553192723,64363548271.27908,4721562503.691853,3655.775045729801,31.975507462922,4065.097238010126
2018-12-21 00:00:00 UTC,4065.097238010126,70578857837.00003,6126325232.95458,3687.750553192723,377.346684817403,3846.2274979885774
2018-12-22 00:00:00 UTC,3846.2274979885774,67118181896.86795,4813606168.926531,4065.097238010126,-218.86974002154875,3960.567773408038
2018-12-23 00:00:00 UTC,3960.567773408038,68846085704.00443,3568245607.7466927,3846.2274979885774,114.3402754194608,3941.617740158326
2018-12-24 00:00:00 UTC,3941.617740158326,68680118909.38707,3514437242.642075,3960.567773408038,-18.950033249712305,4021.990255345401
2018-12-25 00:00:00 UTC,4021.990255345401,70266326465.44417,5022191528.110896,3941.617740158326,80.3725151870749,3759.17842689657
2018-12-26 00:00:00 UTC,3759.17842689657,65350104373.41374,4189084247.453542,4021.990255345401,-262.81182844883097,3781.613081593353
2018-12-27 00:00:00 UTC,3781.613081593353,65972460015.27494,3568561115.826988,3759.17842689657,22.434654696783127,3587.703880138819
2018-12-28 00:00:00 UTC,3587.703880138819,62808667853.73499,3386167814.2749724,3781.613081593353,-193.909201454534,3854.421096982592
2018-12-29 00:00:00 UTC,3854.421096982592,67263083067.33795,3561935968.91515,3587.703880138819,266.71721684377326,3778.193939889601
2018-12-30 00:00:00 UTC,3778.193939889601,66838758054.14169,3031003209.033743,3854.421096982592,-76.22715709299109,3809.7282286410905
2018-12-31 00:00:00 UTC,3809.7282286410905,66494185030.58888,3109685385.4562902,3778.193939889601,31.534288751489385,3692.531565524698
2019-01-01 00:00:00 UTC,3692.531565524698,64422635599.72896,2991427568.30354,3809.7282286410905,-117.1966631163923,3794.264253739717
2019-01-02 00:00:00 UTC,3794.264253739717,66188448932.14009,2689877851.31483,3692.531565524698,101.7326882150187,3872.1721842228935
2019-01-03 00:00:00 UTC,3872.1721842228935,67643304990.47443,3263469039.3230205,3794.264253739717,77.90793048317664,3776.525807694106
